,EEG Fpz-Cz_delta,EEG Fpz-Cz_theta,EEG Fpz-Cz_alpha,EEG Fpz-Cz_beta,EEG Fpz-Cz_gamma,EEG Pz-Oz_delta,EEG Pz-Oz_theta,EEG Pz-Oz_alpha,EEG Pz-Oz_beta,EEG Pz-Oz_gamma,subject,recording,epoch,label
0,0.3950330870766391,0.30055951866206204,0.058245872075242025,0.05845972926965735,0.008108115619106024,0.26038979801817497,0.3177662227230787,0.12444442196247464,0.061183326275599435,0.012123962599048535,0,1,0,1
1,0.4641839276481686,0.23421869230690626,0.037940960120444435,0.03314989219267813,0.007175968567228703,0.33766449289283934,0.22302260533856066,0.08991526851676751,0.053195870479278394,0.01419856821757029,0,1,1,1
2,0.6015850695697561,0.1799304898939267,0.018971798357765884,0.015618091655493754,0.002216321614886476,0.3936467350450817,0.1898465009644114,0.061738282387776844,0.02814276171777128,0.005235867885308049,0,1,2,1
3,0.5874402412277012,0.21352137371693125,0.012580742876138052,0.013297384097157191,0.00206893343697827,0.423072604896689,0.2532355493109554,0.033945962440572075,0.028239071624998325,0.007029813385974655,0,1,3,2
4,0.6486791078046631,0.18211170723451992,0.014418917397765125,0.020887254164910093,0.0017942907609833172,0.5148649650859428,0.14838451677108142,0.026098773439430244,0.02566917798146137,0.003446641444731692,0,1,4,2
5,0.6175367698409857,0.17759699397893444,0.017689293664661692,0.024324597260901453,0.002116125790465466,0.4451351152585639,0.21318764376820024,0.0322925265820873,0.029750612804881837,0.003823272714736448,0,1,5,2
6,0.5675818361650835,0.14493466301900554,0.01823211168261164,0.028413375336697157,0.002428468312664482,0.4062749523735748,0.19335583479822607,0.04754970094429809,0.04749030135461508,0.005753336583837728,0,1,6,2
7,0.5139687194722273,0.12563279836002741,0.02187791014869718,0.027181964278011034,0.003284011184618938,0.5822509939846902,0.13999200129973302,0.02679889583149018,0.021908968774669392,0.00410341007996378,0,1,7,2
8,0.6370855883242172,0.11415399637952457,0.01991058589545461,0.03330080733517916,0.004305591511002475,0.48409721719861093,0.15041287412141635,0.027242875168978557,0.028636102610450836,0.00287971967164898,0,1,8,2
9,0.63227434628612,0.113066475494341,0.020815315180325783,0.015321453860941438,0.002004477223924082,0.5159448556822496,0.1679876121101333,0.03646732376578044,0.02145505023038857,0.003385546226587396,0,1,9,2
10,0.47220749101893184,0.14097859475220426,0.03252146263898669,0.06207807275032777,0.002163102687214838,0.36892883109048463,0.2387189893071396,0.04783878720820649,0.04357425561303709,0.0033142897959673526,0,1,10,2
11,0.6033975597658445,0.13577981773040537,0.01953566340898365,0.02725157896724421,0.001820570400757876,0.5262114917383501,0.10082908643198037,0.02071513198529161,0.0168886323300295,0.0018670230903723194,0,1,11,2
12,0.6366721203042389,0.11684914610383426,0.02464200106527563,0.021369644703685842,0.0015126595339577697,0.45445615559942576,0.21780161792709696,0.04876251467369779,0.024037540705530814,0.0028227827323391544,0,1,12,2
13,0.497539119038393,0.09925639128986485,0.024679617425301364,0.025271259122958623,0.00144193908602453,0.41314388493720694,0.22811819619969845,0.044424635655554,0.024564374004595633,0.0024862061587419063,0,1,13,2
14,0.5741155802547684,0.11042231566804231,0.019341000216127547,0.024722362380189367,0.0016188672223644322,0.502850427549982,0.1768170815760062,0.035819908686314204,0.026008406233339464,0.00308181908563539,0,1,14,2
15,0.5290104782828625,0.08785304444183645,0.013283908602505954,0.010725543628027571,0.0006143929522620852,0.42786433738691665,0.14662146756350647,0.024198420657605392,0.010614606857960757,0.0011835343200266794,0,1,15,3
16,0.47592213801847755,0.0802450262559464,0.017790403523427634,0.009039282315473423,0.0007476707808819286,0.5016295240102379,0.17442074587996875,0.034293670648162376,0.016474608974977784,0.0023430462834877265,0,1,16,3
17,0.6129327870731732,0.085160197256544,0.018029763148309418,0.011061721802650299,0.0009138752378932061,0.4762549273949281,0.10882062724409117,0.022443520024467842,0.009158108798317976,0.0010662853873892556,0,1,17,3
18,0.5913070688155481,0.09463522564791922,0.014071086947271558,0.013744463391294058,0.0007539036108413148,0.5262673877419015,0.14063806296073594,0.029558504955313574,0.015981812962066078,0.001654285217193918,0,1,18,3
